pali,pos,grammar,derived from,neg,verb,meaning,category,stem,pattern,same pali,same meaning
abhisaññanirodha,masc,masc,,,,"cessation of perception, of awareness",ncped,?y?h,a masc,1,1
abhisant?yati,pr,pr,abhisañt?peti,,,torments; afflicts,ncped,abhisant?y,ati pr,1,1
abhis?payati,pr,"pr, caus of ","['abhis?peti', 'abhisapati']",,,cursed,ncped,abhis?pay,ati pr,1,2
abhis?peti,pr,"pr, caus of ","['abhis?payati', 'abhisapati']",,,cursed,ncped,abhis?p,eti pr,1,2
?bhiseka,adj,adj,?bhiseka,,,worthy of inauguration as king,ncped,?bhisek,a adj,1,1
abhisekika,adj,adj,"['abhisekiya', '?bhisekika']",,,belonging to or used for the inauguration (of a king),ncped,abhisekik,a adj,1,0
abhisekiya,adj,adj,"['abhisekiya', '?bhisekika']",,,belonging to or used for the inauguration (of a king),ncped,abhisekiy,a adj,1,0
abhisevana,nt,nt,,,,pursuit of; indulgence in,ncped,abhisevan,a nt,1,1
abhisiñcapeti,pr,"pr, caus of ",,,,causes to be inaugurated; has made king or queen,ncped,abhisiñcap,eti pr,1,1
abhisiñcayati,pr,"pr, caus of ",,,,sprinkles; inaugurates (as king),ncped,abhisiñcay,ati pr,1,0
abhisobhita,adj,adj,,,,adorned; looking bright,ncped,abhisobhit,a adj,1,1
abhissanna,pp,pp of ,abhisanna,,,"flooded, drenched; filled (with), overflowing",ncped,abhissann,a pp,1,0
abhiti??hati,pr,pr,,,,stands supreme over; overpowers; surpasses,ncped,abhiti??h,ati pr,1,1
abhitosayati,pr,pr,,,,gratifies; delights,ncped,abhitosay,ati pr,1,1
abhiuyy?ta,pp,pp of ,"['abbhuyy?ta', 'abbhuyy?ti']",,,"who has marched out (against, accusative)",ncped,abhiuyy?t,a pp,1,0
abhiv?d?payati,pr,"pr, caus of ","['abhiv?d?peti', 'abhivadati']",,,causes to salute; asks for greeting or good wishes,ncped,abhiv?d?pay,ati pr,1,2
abhiv?d?peti,pr,"pr, caus of ","['abhiv?d?payati', 'abhivadati']",,,causes to salute; asks for greeting or good wishes,ncped,abhiv?d?p,eti pr,1,2
abhiv?dayati,pr,pr,"['abhiv?deti', 'abhivadati']",,,addresses reverently; greets; salutes respectfully,ncped,abhiv?day,ati pr,1,1
abhivadita,pp,pp of ,abhivadati,,,saluted,ncped,abhivadit,a pp,1,1
abhiva??ayati,pr,pr,abhiva??eti,,,praises; describes,ncped,abhiva??ay,ati pr,1,1
abhivasana,nt,nt,,,,"clothing, clothes",ncped,abhivasan,a nt,1,1
abhivasanavaratara,nt,nt,abhivasana,,,"the very best of clothing, choice clothes",ncped,abhivasanavaratar,a nt,1,1
abhivassa,masc,masc,,,,rain; a shower,ncped,?misasanth?r,a masc,1,1
abhivassaka,adj,adj,,,,"raining, pouring out",ncped,abhivassak,a adj,1,1
abhivinaye,ind,ind,,,,as to the Vinaya; as regards the discipline,ncped,-,,1,1
abhivindati,pr,pr,,,,finds; obtains,ncped,abhivind,ati pr,1,1
abhiviññ?peti,pr,pr,,,,"begs, entreats; solicits (from); induces (to do something)",ncped,abhiviññ?p,eti pr,1,0
abhivisajati,pr,pr,,,,"pours forth; gives away, dispenses",ncped,abhivisaj,ati pr,1,1
abhivissattha,adj,adj,,,,trusting; confident in,ncped,abhivissatth,a adj,1,1
abhivitarati,pr,pr,,,,"goes through, finds out for certain; is sure",ncped,abhivitar,ati pr,1,1
abhiyobbana,nt,nt,,,,early youth,ncped,abhiyobban,a nt,1,1
abhu,ind,ind,abbhu(?),,,an exclamation of horror or fright or aversion,ncped,-,,1,3
abhu?,ind,ind,abbhu(?),,,an exclamation of horror or fright or aversion,ncped,-,,1,3
?bhuñjitv?,abs,abs of,,,,having turned back,ncped,-,,1,1
?cama,masc,masc,,,,sipping; rinsing,ncped,ukko?,a masc,1,1
?camakumbh?,fem,fem,?cama,,,a rinsing vessel (holding water),ncped,?camakumbh,? fem,1,0
?camanap?duk?,fem,fem,?camana,,,fixed shoes for the feet when washing,ncped,tath?t,? fem,1,1
?camanasar?vaka,masc,masc,?camana,,,a dish for holding water (for sipping or washing),ncped,uggaputt,a masc,1,0
?camati,pr,pr,"['?cameti', '?camayati']",,,"sips (water, for purification); rinses (one’s mouth or one’s body)",ncped,?cam,ati pr,1,0
?camayati,pr,pr,"['?cameti', '?camati']",,,"sips (water, for purification); rinses (one’s mouth or one’s body)",ncped,?camay,ati pr,1,0
?c?meti,pr,"pr, caus of ",?camati,,,helps sip; helps wash,ncped,?c?m,eti pr,1,1
?c?ragocara,masc,masc,?c?ra,,,good behavior and associations,ncped,uggahet,a masc,1,1
?carin?,fem,fem,,,,a female teacher,ncped,?carin,? fem,1,1
?cariyamah?yuga,nt,nt,?cariya,,,a generation of teachers,ncped,?cariyamah?yug,a nt,1,1
?cariyamatta,adj,adj,?cariya,,,(one) having the status of a teacher; like a teacher,ncped,?cariyamatt,a adj,1,0
?cariyaparampar?,fem,fem,?cariya,,,the succession of teachers,ncped,talasattik,? fem,1,1
?cayag?m?,adj,adj,?caya,,,leading to accumulation or growth,ncped,?cayag?m,? adj,1,1
acc,prefix,prefix,,,,is the usual form of the prefix ati- before vowels other than ?. In words of more than three syllables the vowel following acc- is often strengthened,ncped,-,,1,1
acca?kusa,adj,adj,ati+a?kusa,,,beyond the control of the goad,ncped,acca?kus,a adj,1,1
accantaruci,adj,adj,accanta,,,"having superior splendor, surpassing in splendor",ncped,accantaruc,i adj,1,1
acc?raddhaviriya,adj,adj,acc?raddha,,,exerting oneself too much,ncped,acc?raddhaviriy,a adj,2,1
acc?raddhaviriya,nt,nt,acc?raddha,,,to great exertion,ncped,acc?raddhaviriy,a nt,2,1
acc?sanne,ind,"ind, adv, loc sg of acc?sanna",acc?sanna,,,very near; too close,ncped,-,,1,1
accasari,aor,aor of ,,,,gave offense,ncped,accasar,i aor,1,1
acc?vadati,pr,pr,ati+vadati,,,speaks or addresses in an excessive or improper way; (tries to) surpass in speaking,ncped,acc?vad,ati pr,1,0
acch?d?petv?,abs,abs of,acch?deti,,caus,causing to put on; presenting; clothing (with),ncped,-,,1,0
acch?dayati,pr,pr,acch?deti,,,"covers; clothes or presents with (clothes, instrumental); puts on (clothes, accusative)",ncped,acch?day,ati pr,1,0
acchakañjiy?,fem,fem,accha,,,rice gruel,ncped,acchakañjiy,? fem,1,1
acchara,nt,nt,acchera,,,"a wonderful thing, a marvel; amazement",ncped,acchar,a nt,1,1
